Bank or credit service alerting you about suspicious activity to get personal info.,"The caller (scammer) claims to be from the callee’s bank or credit service and says suspicious transactions or unauthorized access have been detected on their account. The caller tells the callee that the account may be frozen or further charges may occur unless they immediately verify their identity by providing account numbers, card details, security codes, or other personal information."
Loan or credit line offer requesting personal data.,"The caller (scammer) claims to represent a lending institution and offers the callee a loan or credit line with favorable terms. The caller says the offer is only available for a limited time and requires immediate processing, instructing the callee to provide personal and financial details such as identification numbers, income information, and bank account data to “approve” the application."
Investment advisor pushing a “time-limited opportunity.”,"The caller (scammer) claims to be an investment advisor with access to a highly profitable, time-limited opportunity. The caller tells the callee that they must act immediately to secure large returns and instructs them to transfer funds to a specified account or provide banking details, warning that the opportunity will be lost if they delay."
Debt collector threatening legal action unless paid.,"The caller (scammer) claims to be a debt collector and tells the callee they owe a significant unpaid balance. The caller warns that legal proceedings will begin unless the debt is settled immediately, instructing the callee to make payment through wire transfer, prepaid card, or other non-traceable methods."
Pump-and-dump scheme inflating asset prices with hype before selling off.,"The caller (scammer) claims to be an insider or market expert with knowledge of an asset—such as a stock or cryptocurrency—that is about to surge in value. The caller urges the callee to invest quickly, promising substantial profits, and may provide fabricated data or false endorsements to support the claim. Once enough people buy in and the price rises, the caller and associates sell their holdings, leaving the callee with assets that rapidly lose value."
Health services provider asking for insurance or ID verification.,"The caller (scammer) claims to be from a health services provider and tells the callee that their patient file or insurance information is incomplete or outdated. The caller says treatment, benefits, or coverage could be suspended unless the callee immediately provides personal details such as insurance numbers, identification documents, or banking information to “update” the record"
Public health agency offering checkups or surveys.,"The caller (scammer) claims to be from a public health agency and tells the callee they are eligible for a free health checkup or must participate in a mandatory health survey. The caller says the service cannot proceed without confirming personal details and instructs the callee to provide identification numbers, health insurance information, or other sensitive data, sometimes requesting a fee for “registration” or “processing.”"
Hospital or clinic demanding payment for treatments.,"The caller (scammer) claims to be from a hospital or clinic and tells the callee there is an outstanding bill for recent or ongoing medical treatments. The caller warns that failure to pay will result in collection action, denial of further treatment, or reporting to authorities. The caller instructs the callee to make immediate payment through wire transfer, prepaid card, or mobile payment service."
Vaccination appointment or health benefit offered in exchange for personal data.,"The caller (scammer) claims to be from a health organization and tells the callee they are eligible for a vaccination appointment or special health benefit. The caller says the booking or benefit cannot be processed without confirming personal details, instructing the callee to provide identification numbers, health insurance information, or banking details for “registration” or “eligibility verification.”"
University or school claiming unpaid tuition.,"The caller (scammer) claims to be from the callee’s university or school and says there is an outstanding tuition balance that must be cleared immediately. The caller warns that the callee will be barred from classes, have grades withheld, or face expulsion if payment is not made, and instructs them to pay through wire transfer, prepaid card, or mobile payment service."
Student loan provider offering debt relief or forgiveness.,"The caller (scammer) claims to be from a student loan provider and tells the callee they qualify for a special program offering debt relief or full loan forgiveness. The caller says the offer is available for a limited time and requires immediate action, instructing the callee to provide personal and financial details or pay an upfront “processing” fee to secure enrollment."
Scholarship organization requesting payment for processing or activation.,"The caller (scammer) claims to be from a scholarship organization and tells the callee they have been awarded a scholarship but must complete a processing or activation step before receiving the funds. The caller instructs the callee to pay a fee through wire transfer, prepaid card, or mobile payment service, or to provide personal and banking information to “finalize” the award."
Friend or family member in distress urgently asking for money or sensitive info.,"The caller (scammer) claims to be a friend or family member of the callee and says they are in serious trouble, such as being stranded abroad, injured, or facing legal issues. The caller insists the matter must be resolved immediately and asks the callee to send money through wire transfer, prepaid card, or mobile payment service, or to provide sensitive information needed to “help” them."
Romantic partner scam requesting help with travel or emergencies.,"The caller (scammer) claims to be a romantic partner of the callee, often someone they met online, and says they are facing an urgent situation such as a medical emergency, travel problem, or sudden financial hardship. The caller asks the callee to send money through wire transfer, prepaid card, or mobile payment service to cover expenses, promising to repay them once the situation is resolved."
Friend or colleague abroad claiming lost access to money or documents.,"The caller (scammer) claims to be a friend or colleague abroad and tells the callee they have lost access to their money, travel documents, or personal belongings. The caller says they cannot return home or continue their trip without help and asks the callee to send funds through wire transfer, prepaid card, or mobile payment service to cover urgent expenses."
Grandchild in trouble targeting elderly relatives.,"The caller (scammer) claims to be the grandchild of the callee and says they are in urgent trouble, such as being arrested, injured, or stranded in another location. The caller pleads for the callee to send money immediately through wire transfer, prepaid card, or mobile payment service to cover urgent needs, insisting that the matter be kept secret from other family members."
Online shopping platform warning about suspicious orders.,"The caller (scammer) claims to be from an online shopping platform and tells the callee that several expensive items have been ordered under their account. The caller says the transactions appear linked to fraudulent activity and warns that the account will face serious action if not addressed immediately. They instruct the callee to confirm their identity by providing full name, address, payment card details, and account login information, claiming this is required to cancel the orders and clear their record."
Delivery service claiming package issues and demanding payment/info.,"The caller (scammer) claims to be from a delivery service and tells the callee that a package addressed to them cannot be delivered due to an address problem, outstanding fees, or missing documentation. The caller says the shipment will be returned or destroyed if the issue is not fixed immediately, and instructs the callee to provide personal details such as address, identification number, or payment card information, or to make an immediate payment to release the package."
Subscription or entertainment service threatening suspension.,"The caller (scammer) claims to be from a subscription or entertainment service and tells the callee that their account will be suspended due to unpaid fees, payment problems, or expired account information. The caller says access to content will be blocked within hours unless the issue is resolved, and instructs the callee to provide updated payment details or make an immediate payment to keep the service active."
"Technical support warning about malware/hacked accounts, seeking remote access or payment.","The caller (scammer) claims to be from a technical support team and tells the callee that their computer or online accounts have been compromised by malware or hackers. The caller says urgent action is needed to prevent data loss or further breaches, and instructs the callee to grant remote access to their device or to install supposed “security software.” Once they have access, the caller demands payment for resolving the issue or continuing assistance."
Fake e-commerce store selling nonexistent/counterfeit products or stealing payment data.,"The caller (scammer) claims to represent an online store and tells the callee about a special sale or limited-time offer on high-demand products. The caller urges the callee to place an order immediately to secure the deal, requesting payment through bank transfer, prepaid card, or other non-refundable methods. After payment is made, the caller fails to deliver the promised items and may misuse the callee’s payment information."
Sextortion targeting children/teens with threats to release compromising media.,The caller (scammer) claims to have obtained compromising photos or videos of the callee and threatens to share the material with others or post it online unless money is sent immediately. The caller demands payment through cryptocurrency or other hard-to-trace methods and may make further threats to pressure continued compliance.
One-time code theft timed with legitimate services to steal verification codes.,"The caller (scammer) tells the callee they are from a legitimate service the callee uses, such as a bank, delivery company, or online platform, and says there is an urgent issue that requires account verification. The caller instructs the callee to read back a one-time code that will be sent to their phone or email, claiming it is needed to fix the problem. "
Prize or lottery scam claiming a win but demanding upfront fees/taxes.,"The caller (scammer) tells the callee they have won a large cash prize or lottery and congratulates them on their good fortune. The caller says the winnings cannot be released until the callee pays required fees or taxes, and instructs them to send the payment through wire transfer, prepaid card, or mobile payment service to claim the prize."
Charity scam posing as a legitimate organization to collect fake donations.,"The caller (scammer) claims to represent a charitable organization and tells the callee they are raising funds for a cause such as disaster relief, medical aid, or community support. The caller urges the callee to make a donation immediately, providing payment instructions for wire transfer, prepaid card, or mobile payment service, and may ask for personal details to “process the receipt.”"
