Tag,Category,Count,Example
lottery,prizes_rewards,1005,A bogus “DE LOTTO” international lottery claim promises a $1 million prize but f...
gift_card,prizes_rewards,201,A fake rewards program promises a $500 Coach gift card in exchange for personal ...
gift,prizes_rewards,91,A fake “free Xbox 360 with Halo 3” promotion that pressures the victim to regist...
free_offer,prizes_rewards,63,"A fake “member incentive” scam promises free high‑end Ping Rapture golf clubs, p..."
reward,prizes_rewards,32,Scammer pretends to be a “found money” service that locates unclaimed cash and p...
giveaway,prizes_rewards,5,A fake “free PS2 Slim” giveaway that forces the victim to sign up for a free‑tri...
romance,relationships,1059,A self‑styled widow of a former Nigerian head of state claims a $40 million fund...
adult_content,relationships,432,A fake “anniversary” promotion promises the first two hours of phone‑sex calls f...
sextortion,relationships,15,Scammer pretends to have an explicit video of the victim and threatens to distri...
webcam,relationships,9,"A fake teenage webcam model advertises a free live‑stream link, using flirty lan..."
escort,relationships,5,"Scammer pretends to sell access to local “cheating wives,” listing personal deta..."
cheating,relationships,1,Scammer pretends to run a “cheating detection” service that can reveal who is be...
counterfeit,retail_products,1094,Scammer pretends to sell high‑end luxury watch replicas that “self‑charge” and p...
retail,retail_products,127,Scammer impersonates a major retailer and offers a free Burt's Bees gift with a ...
luxury_goods,retail_products,100,"Scammer pretends to sell authentic Rolex watches at unrealistically low prices, ..."
product,retail_products,69,"Scammer offers a “free” Apple MacBook Pro through a fake product‑test incentive,..."
ecommerce,retail_products,42,"Scammer impersonates eBay’s Safeharbor/Trust & Safety team, claims the victim’s ..."
luxury_watch,retail_products,18,"A fake online retailer promises genuine luxury watches (e.g., Rolex) at deep‑dis..."
wholesale,retail_products,6,"A fraudster poses as a low‑cost fashion wholesaler, listing branded items at unr..."
amazon,retail_products,1,A fake Amazon Prime notice threatens service interruption unless the victim imme...
ebay,retail_products,1,"A fraudulent “PowerSeller” invitation pretends to be from eBay, urging the selle..."
printer_ink,retail_products,1,A fraudulent “up to 80 % off” printer‑ink promotion that uses malicious links an...
package_delivery,services,496,A fake Amazon support agent threatens account suspension and demands immediate p...
charity,services,351,Impersonation of the Warren Buffett Charitable Foundation claiming the victim ha...
utility,services,238,"A fake “AOL anti‑timer” program is sold for $30, claiming it will keep the user ..."
travel,services,120,"Scammer offers a “free” family holiday to Florida/Cancun, demanding an immediate..."
subscription,services,45,A fake Netflix support call claims the victim's payment failed and threatens acc...
service,services,28,"A scammer impersonates Netflix support, claims a billing problem, and pressures ..."
warranty,services,20,"A scammer promotes a fake TV Sound Regulator device, claiming it automatically b..."
airline,services,14,A fake Continental Airlines representative offers ultra‑cheap holiday flights an...
phone,services,10,"A scammer promises a free rechargeable prepaid phone card with ultra‑low rates, ..."
hotel,services,8,A fraudster posing as a travel‑agency director requests a block of rooms and ask...
telecom,services,7,A fraudster pretends to be an AT&T representative offering a free phone and $80 ...
home_improvement,services,4,An unsolicited “free kitchen cabinet refacing” offer that directs the victim to ...
software,technology,2605,"A counterfeit‑software scam that pretends to sell genuine Microsoft, Adobe, and ..."
tech_support,technology,962,"Scammer pretends to be USAA technical support, warning that outdated devices wil..."
phishing,technology,788,A fake “Webmail Helpdesk” warns of unauthorized access and forces the victim to ...
malware,technology,136,"A fraudster advertises and sells illegal hacking tools, stolen credentials, and ..."
account_security,technology,40,"Scammer pretends to be a payment‑service support agent, claims the victim’s acco..."
hosting,technology,14,A fraudster offers a cheap “bullet‑proof” dedicated server and target email list...
download,technology,3,"A fraudster pretends to provide free unlimited music, movies and software downlo..."
cloud_storage,technology,1,"A fraudster pretends to be email‑service support, warns the victim that their ma..."
